code,mcap
000001,2260.79
000002,377.01
000006,100.98
000007,43.65
000008,68.45
000009,187.25
000011,54.53
000012,115.31
000014,27.71
000017,78.91
000019,84.37
000020,37.04
000021,589.07
000025,73.54
000026,81.44
000027,300.67
000028,122.32
000029,240.07
000030,69.82
000031,96.87
000032,176.44
000034,244.83
000035,112.72
000036,57.84
000037,59.31
000039,518.76
000042,57.77
000045,56.33
000048,117.55
000049,90.51
000050,163.68
000055,38.77
000058,88.4
000059,89.09
000060,307.77
000061,127.83
000062,259.91
000063,1608.7
000065,118.82
000066,460.0
000068,33.22
000069,147.09
000070,138.16
000088,235.54
000089,134.53
000090,66.89
000096,43.72
000099,106.82
000100,1088.54
000151,35.93
000153,29.97
000155,228.0
000156,128.41
000157,589.83
000158,201.59
000159,29.18
000166,1146.83
000301,932.18
000333,6578.31
000338,2388.16
000400,222.57
000401,97.21
000402,76.22
000403,100.65
000404,49.55
000407,37.14
000408,1239.44
000409,59.5
000410,137.75
000411,55.86
000415,277.69
000417,45.16
000419,27.51
000420,92.95
000421,33.2
000422,142.8
000423,314.28
000425,931.04
000426,738.31
000428,46.36
000429,279.96
000430,56.84
000498,77.16
000501,56.06
000503,68.45
000504,27.72
000505,53.36
000506,199.09
000507,46.91
000509,37.88
000510,114.99
000513,237.6
000514,35.19
000516,93.14
000517,71.0
000518,39.95
000519,200.95
000520,43.01
000521,49.95
000523,64.98
000524,68.29
000525,63.06
000526,42.92
000528,160.59
000529,29.31
000530,43.51
000531,59.57
000532,38.88
000533,81.79
000534,118.22
000536,97.92
000537,155.82
000538,892.13
000539,278.27
000541,75.71
000543,168.43
000544,71.44
000545,26.55
000546,37.79
000547,226.34
000548,23.01
000550,141.05
000551,60.69
000552,146.1
000553,133.27
000554,31.8
000555,104.41
000557,54.83
000558,47.44
000559,367.34
000560,62.19
000561,67.31
000563,155.98
000564,281.71
000565,28.7
000566,65.39
000567,137.02
000568,1154.56
000570,36.98
000571,52.53
000572,64.8
000573,24.51
000576,35.61
000581,174.5
000582,279.9
000586,26.64
000589,67.93
000590,22.94
000591,169.08
000592,135.42
000593,81.16
000595,65.25
000596,496.36
000597,72.06
000598,214.85
000599,116.54
000600,144.26
000601,65.76
000603,266.26
000605,21.12
000607,37.65
000608,55.42
000612,136.63
000617,935.51
000619,22.19
000620,198.47
000623,222.68
000625,703.82
000626,47.67
000628,169.52
000629,288.95
000630,906.48
000631,68.54
000633,20.91
000635,25.86
000636,636.28
000637,22.2
000650,77.98
000651,2184.55
000652,51.66
000655,44.95
000656,136.59
000657,1521.2
000659,37.8
000661,309.71
000663,20.17
000665,44.8
000668,33.33
000670,59.13
000672,139.5
000676,84.03
000678,40.72
000679,22.49
000680,155.71
000681,115.81
000682,154.59
000683,236.39
000685,167.61
000686,190.51
000688,373.3
000690,106.62
000691,49.17
000692,23.18
000695,34.46
000697,119.37
000700,102.91
000701,34.48
000702,19.93
000703,744.82
000705,24.09
000707,27.66
000708,704.58
000709,222.25
000710,31.92
000712,105.73
000713,53.4
000715,30.91
000716,42.69
000717,56.72
000718,60.09
000719,118.69
000720,49.13
000721,39.89
000722,83.3
000723,173.94
000725,2193.02
000726,49.22
000727,104.63
000728,336.01
000729,325.54
000731,35.84
000733,226.99
000735,67.48
000736,34.96
000737,292.75
000738,245.68
000739,247.1
000750,245.87
000751,85.63
000753,48.98
000755,70.87
000756,93.56
000757,24.08
000758,129.73
000759,41.33
000761,99.01
000762,123.07
000766,160.53
000767,106.15
000768,603.95
000776,1676.86
000777,66.06
000778,147.03
000779,44.76
000782,54.93
000783,509.32
000785,142.6
000786,301.3
000788,34.45
000789,33.73
000790,26.26
000791,234.85
000792,1501.75
000795,97.78
000796,69.28
000797,39.43
000798,37.02
000799,127.4
000800,306.1
000801,119.72
000802,28.42
000803,35.11
000807,944.32
000809,28.29
000810,111.91
000811,397.98
000812,27.83
000813,72.77
000815,113.47
000816,44.28
000818,81.91
000819,45.13
000820,23.47
000822,40.73
000823,91.44
000825,205.06
000828,106.24
000829,89.8
000830,246.42
000831,638.64
000833,172.45
000837,103.54
000839,110.15
000848,88.43
000850,41.8
000852,52.47
000856,20.23
000858,2775.74
000859,81.09
000860,78.92
000862,48.56
000863,50.65
000868,33.63
000869,106.01
000875,179.91
000876,322.85
000877,271.62
000878,432.9
000880,109.65
000881,62.87
000882,41.61
000883,324.24
000885,78.78
000886,48.06
000887,275.8
000888,54.38
000889,37.64
000890,36.08
000892,38.36
000893,450.94
000895,861.66
000897,30.08
000898,197.69
000899,94.15
000900,56.31
000901,110.15
000902,183.07
000905,138.35
000906,41.02
000908,114.72
000910,30.16
000912,68.36
000913,60.64
000915,58.68
000917,99.94
000919,42.6
000920,54.78
000921,367.13
000922,101.58
000923,109.01
000925,63.44
000926,36.64
000927,152.47
000928,76.18
000929,17.16
000930,95.42
000931,39.77
000932,258.34
000933,620.5
000935,178.57
000936,50.59
000937,204.84
000938,1026.48
000948,55.79
000949,122.28
000950,95.57
000951,255.78
000952,22.7
000953,22.99
000955,23.1
000957,60.59
000958,972.61
000959,287.71
000960,596.8
000962,304.41
000963,485.08
000965,36.51
000966,141.33
000967,279.82
000968,71.5
000969,181.84
000970,148.08
000972,29.54
000973,332.35
000975,757.18
000977,1137.19
000978,28.84
000980,85.72
000981,269.93
000983,421.24
000985,21.68
000987,389.83
000988,1034.96
000989,78.23
000990,113.65
000993,45.43
000995,19.89
000997,207.79
000998,135.92
000999,405.9
001201,31.89
001202,23.94
001203,433.56
001205,27.09
001206,30.47
001207,51.23
001208,88.54
001209,23.96
001210,62.24
001211,23.43
001212,67.74
001213,158.67
001215,30.61
001216,43.68
001217,34.61
001218,32.75
001219,24.82
001220,29.53
001221,150.08
001222,27.53
001223,51.51
001225,30.72
001226,34.28
001227,122.46
001228,30.46
001229,57.49
001230,42.36
001231,22.02
001232,972.29
001233,85.06
001234,25.02
001236,81.03
001237,77.01
001238,38.04
001239,29.11
001248,1649.22
001255,23.49
001256,32.64
001257,474.96
001258,124.13
001259,33.74
001260,20.84
001266,35.92
001267,306.15
001268,38.9
001269,37.52
001270,205.5
001277,22.82
001278,20.11
001279,40.62
001280,1417.32
001282,34.35
001283,59.73
001285,80.34
001286,361.5
001287,174.17
001288,66.53
001289,1279.05
001296,29.87
001298,76.99
001299,30.73
001300,28.03
001301,214.58
001306,33.53
001308,127.37
001309,973.22
001311,69.95
001312,41.09
001313,57.33
001314,72.08
001316,43.29
001317,44.94
001318,33.24
001319,28.07
001322,64.21
001323,82.4
001324,27.67
001325,31.24
001326,49.97
001328,48.97
001330,70.1
001331,177.04
001332,43.47
001333,26.93
001335,30.46
001336,19.88
001337,230.92
001338,46.21
001339,252.57
001356,54.16
001358,31.39
001359,213.01
001360,39.07
001365,182.86
001366,20.55
001367,31.54
001368,26.3
001369,142.8
001373,19.71
001376,56.58
001378,35.5
001379,32.14
001380,47.21
001382,67.86
001386,194.77
001387,22.4
001388,50.0
001389,736.95
001390,33.96
001391,501.79
001393,104.3
